date,industry,sales_amount,mom_growth_pct,yoy_growth_pct,sales_index
2022-01,Clothing & Accessories,86608.0,,,100.0
2022-01,Electronics & Appliances,56667.0,,,100.0
2022-01,Food & Beverage Stores,365771.0,,,100.0
2022-01,General Merchandise,385352.0,,,100.0
2022-01,Motor Vehicles & Parts,668628.0,,,100.0
2022-01,Nonstore Retail (E-commerce),373911.0,,,100.0
2022-01,Other Specialty Retail,443672.0,,,100.0
2022-02,Clothing & Accessories,91876.0,0.06082578976537967,,106.08257897653797
2022-02,Electronics & Appliances,56669.0,3.529391003587179e-05,,100.00352939100358
2022-02,Food & Beverage Stores,348972.0,-0.04592764325219878,,95.40723567478013
2022-02,General Merchandise,382757.0,-0.006734102846228884,,99.32658971537711
2022-02,Motor Vehicles & Parts,680132.0,0.017205381766842054,,101.7205381766842
2022-02,Nonstore Retail (E-commerce),361380.0,-0.03351332268908913,,96.64866773109108
2022-02,Other Specialty Retail,441021.0,-0.005975134784255043,,99.4024865215745
2022-03,Clothing & Accessories,107828.0,0.17362532108494055,,124.50120081285793
2022-03,Electronics & Appliances,63842.0,0.12657714094125527,,112.66169022535162
2022-03,Food & Beverage Stores,370262.0,0.0610077599348946,,101.227817404879
2022-03,General Merchandise,406150.0,0.06111710563098782,,105.3971433909776
2022-03,Motor Vehicles & Parts,757922.0,0.11437485664547475,,113.35481014854298
2022-03,Nonstore Retail (E-commerce),383124.0,0.06016935082184949,,102.46395532626748
2022-03,Other Specialty Retail,501445.0,0.1370093487611701,,113.02155646513641
2022-04,Clothing & Accessories,107969.0,0.001307638090291885,,124.66400332532793
2022-04,Electronics & Appliances,62878.0,-0.015099777575890427,,110.96052376162493
2022-04,Food & Beverage Stores,370857.0,0.0016069701994803065,,101.39048749080708
2022-04,General Merchandise,419736.0,0.033450695555829135,,108.92275114700325
2022-04,Motor Vehicles & Parts,751832.0,-0.008035127625270144,,112.44398978206118
2022-04,Nonstore Retail (E-commerce),379360.0,-0.00982449546360964,,101.45729866198106
2022-04,Other Specialty Retail,503120.0,0.0033403463989072346,,113.3990876142736
2022-05,Clothing & Accessories,109200.0,0.011401420778186289,,126.08535008313319
2022-05,Electronics & Appliances,61799.0,-0.017160215019561664,,109.05641731519226
2022-05,Food & Beverage Stores,382173.0,0.030513108826313085,,104.48422646956703
2022-05,General Merchandise,431892.0,0.028961061238492736,,112.07726961323672
2022-05,Motor Vehicles & Parts,721888.0,-0.03982804669128215,,107.9655653068672
2022-05,Nonstore Retail (E-commerce),388077.0,0.022978173766343257,,103.78860210049984
2022-05,Other Specialty Retail,522800.0,0.03911591667991732,,117.83479687697218
2022-06,Clothing & Accessories,105493.0,-0.03394688644688648,,121.80514502124515
2022-06,Electronics & Appliances,60759.0,-0.01682875127429251,,107.22113399332945
2022-06,Food & Beverage Stores,382188.0,3.9249240527228224e-05,,104.48832739610303
2022-06,General Merchandise,431395.0,-0.0011507506506256426,,111.94829662230896
2022-06,Motor Vehicles & Parts,725156.0,0.0045270180415799555,,108.45432736888074
2022-06,Nonstore Retail (E-commerce),379802.0,-0.021323087943887375,,101.57550861033775
2022-06,Other Specialty Retail,525513.0,0.005189364957918885,,118.44628464270903
2022-07,Clothing & Accessories,105196.0,-0.0028153526774288284,,121.46222058008497
2022-07,Electronics & Appliances,60979.0,0.0036208627528431236,,107.6093670037235
2022-07,Food & Beverage Stores,386487.0,0.01124839084429663,,105.6636529413212
2022-07,General Merchandise,429001.0,-0.005549438449680699,,111.32704644065686
2022-07,Motor Vehicles & Parts,702042.0,-0.031874520792767314,,104.99739765609577
2022-07,Nonstore Retail (E-commerce),383002.0,0.008425442730686017,,102.43132724097445
2022-07,Other Specialty Retail,511343.0,-0.02696412838502571,,115.25248381687372
2022-08,Clothing & Accessories,108382.0,0.030286322673865884,,125.1408645852577
2022-08,Electronics & Appliances,62773.0,0.029419964249987718,,110.77523073393687
2022-08,Food & Beverage Stores,383472.0,-0.007801038586032649,,104.8393667075848
2022-08,General Merchandise,433708.0,0.010972002396264724,,112.54852706097283
2022-08,Motor Vehicles & Parts,741408.0,0.05607356824805354,,110.88497639943287
2022-08,Nonstore Retail (E-commerce),392725.0,0.025386290411016033,,105.03167866149967
2022-08,Other Specialty Retail,510695.0,-0.0012672511406237597,,115.10642997529708
2022-09,Clothing & Accessories,103013.0,-0.04953774612020445,,118.94166820617033
2022-09,Electronics & Appliances,61455.0,-0.02099628821308519,,108.4493620625761
2022-09,Food & Beverage Stores,379364.0,-0.010712646555680716,,103.71625962692504
2022-09,General Merchandise,423697.0,-0.02308235033709316,,109.95064252942764
2022-09,Motor Vehicles & Parts,701826.0,-0.05338760844231516,,104.96509269728458
2022-09,Nonstore Retail (E-commerce),383929.0,-0.022397351836526802,,102.67924720053702
2022-09,Other Specialty Retail,492394.0,-0.03583547910200802,,110.98153590941055
2022-10,Clothing & Accessories,106282.0,0.031733858833351114,,122.71614631442822
2022-10,Electronics & Appliances,60735.0,-0.011715889675372182,,107.17878130128646
2022-10,Food & Beverage Stores,388474.0,0.024013875855378952,,106.20688900979027
2022-10,General Merchandise,437146.0,0.0317420231911012,,113.44069837447321
2022-10,Motor Vehicles & Parts,714012.0,0.017363278077472177,,106.78763079021519
2022-10,Nonstore Retail (E-commerce),395196.0,0.029346571892198803,,105.69253111034445
2022-10,Other Specialty Retail,500265.0,0.01598516635052416,,112.75559422275916
2022-11,Clothing & Accessories,114884.0,0.08093562409439037,,132.648254202845
2022-11,Electronics & Appliances,62907.0,0.03576191652259819,,111.01169993117688
