date,industry,sales_amount
2023-10,Nonstore Retail (E-commerce),441031.0
2023-10,Other Specialty Retail,496163.0
2023-11,Clothing & Accessories,116717.0
2023-11,Electronics & Appliances,63615.0
2023-11,Food & Beverage Stores,394411.0
2023-11,General Merchandise,451293.0
2023-11,Motor Vehicles & Parts,715522.0
2023-11,Nonstore Retail (E-commerce),472460.0
2023-11,Other Specialty Retail,482176.0
2023-12,Clothing & Accessories,141217.0
2023-12,Electronics & Appliances,65899.0
2023-12,Food & Beverage Stores,408271.0
2023-12,General Merchandise,496867.0
2023-12,Motor Vehicles & Parts,742278.0
2023-12,Nonstore Retail (E-commerce),494927.0
2023-12,Other Specialty Retail,482269.0
2024-01,Clothing & Accessories,93174.0
2024-01,Electronics & Appliances,57838.0
2024-01,Food & Beverage Stores,385689.0
2024-01,General Merchandise,416695.0
2024-01,Motor Vehicles & Parts,692002.0
2024-01,Nonstore Retail (E-commerce),437102.0
2024-01,Other Specialty Retail,447548.0
2024-02,Clothing & Accessories,99858.0
2024-02,Electronics & Appliances,57861.0
2024-02,Food & Beverage Stores,376133.0
2024-02,General Merchandise,421956.0
2024-02,Motor Vehicles & Parts,726434.0
2024-02,Nonstore Retail (E-commerce),425281.0
2024-02,Other Specialty Retail,449480.0
2024-03,Clothing & Accessories,106677.0
2024-03,Electronics & Appliances,57546.0
2024-03,Food & Beverage Stores,394902.0
2024-03,General Merchandise,446792.0
2024-03,Motor Vehicles & Parts,772878.0
2024-03,Nonstore Retail (E-commerce),446958.0
2024-03,Other Specialty Retail,472098.0
2024-04,Clothing & Accessories,105563.0
2024-04,Electronics & Appliances,57006.0
2024-04,Food & Beverage Stores,383263.0
2024-04,General Merchandise,432317.0
2024-04,Motor Vehicles & Parts,763070.0
2024-04,Nonstore Retail (E-commerce),446670.0
2024-04,Other Specialty Retail,484367.0
2024-05,Clothing & Accessories,113822.0
2024-05,Electronics & Appliances,60062.0
2024-05,Food & Beverage Stores,402538.0
2024-05,General Merchandise,453993.0
2024-05,Motor Vehicles & Parts,790940.0
2024-05,Nonstore Retail (E-commerce),457520.0
2024-05,Other Specialty Retail,500580.0
2024-06,Clothing & Accessories,108827.0
2024-06,Electronics & Appliances,58303.0
2024-06,Food & Beverage Stores,394579.0
2024-06,General Merchandise,446178.0
2024-06,Motor Vehicles & Parts,728350.0
2024-06,Nonstore Retail (E-commerce),452306.0
2024-06,Other Specialty Retail,485410.0
2024-07,Clothing & Accessories,110125.0
2024-07,Electronics & Appliances,60026.0
2024-07,Food & Beverage Stores,402878.0
2024-07,General Merchandise,447435.0
2024-07,Motor Vehicles & Parts,776108.0
2024-07,Nonstore Retail (E-commerce),464348.0
2024-07,Other Specialty Retail,498455.0
2024-08,Clothing & Accessories,113645.0
2024-08,Electronics & Appliances,60367.0
2024-08,Food & Beverage Stores,401929.0
2024-08,General Merchandise,456589.0
2024-08,Motor Vehicles & Parts,787274.0
2024-08,Nonstore Retail (E-commerce),455576.0
2024-08,Other Specialty Retail,499883.0
2024-09,Clothing & Accessories,103576.0
2024-09,Electronics & Appliances,57549.0
2024-09,Food & Beverage Stores,392520.0
2024-09,General Merchandise,438369.0
2024-09,Motor Vehicles & Parts,732608.0
2024-09,Nonstore Retail (E-commerce),455602.0
2024-09,Other Specialty Retail,486061.0
2024-10,Clothing & Accessories,109345.0
2024-10,Electronics & Appliances,58970.0
2024-10,Food & Beverage Stores,402989.0
2024-10,General Merchandise,452479.0
2024-10,Motor Vehicles & Parts,774958.0
2024-10,Nonstore Retail (E-commerce),481258.0
2024-10,Other Specialty Retail,504139.0
2024-11,Clothing & Accessories,121372.0
2024-11,Electronics & Appliances,65048.0
2024-11,Food & Beverage Stores,405590.0
2024-11,General Merchandise,466945.0
2024-11,Motor Vehicles & Parts,773444.0
2024-11,Nonstore Retail (E-commerce),504165.0
2024-11,Other Specialty Retail,484405.0
2024-12,Clothing & Accessories,143759.0
2024-12,Electronics & Appliances,70111.0
2024-12,Food & Beverage Stores,417627.0
2024-12,General Merchandise,504374.0
2024-12,Motor Vehicles & Parts,800812.0
2024-12,Nonstore Retail (E-commerce),547570.0
2024-12,Other Specialty Retail,494504.0
